Tapping No.,Manometer Inclination (deg),Manometer Nuetral (mmWC),Manometer Level (mmWC),Pressure at Point (Pa.),Pressure Change (Pa.),Coefficient of Pressue ,,,,,,x/c,Top CP,Bottom Cp,,,Ethanol Density (kg/m^3),Ambient Temp (c),Ambient Pressure (Pa.),Air Density  (kg/m^3),Flow Velocity (m/s),Chord (m)
1,20,396,371,100408.551,8.551,0.023,,,,,1,0.958,,0.023,,,789.45,23,100400,1.191908661,25,
2,20,396,402,100397.948,-2.052,-0.006,,,,,2,0.888,-0.006,,,,,,,,,
3,20,396,387,100403.078,3.078,0.008,,,,,3,0.858,,0.008,,,Node Info,x/c,y/c,Dist From Tube 1 (cm),,
4,20,396,382,100404.788,4.788,0.013,,,,,4,0.742,0.013,,,,1,0.958,0.0094,N/A,,
5,20,396,410,100395.212,-4.788,-0.013,,,,,5,0.713,,-0.013,,,2,0.888,0.01875,N/A,,
6,20,396,403,100397.606,-2.394,-0.006,,,,,6,0.593,-0.006,,,,3,0.858,0.02815,N/A,,
7,20,396,431,100388.029,-11.971,-0.032,,,,,7,0.525,,-0.032,,,4,0.742,0.0375,N/A,,
8,20,396,426,100389.739,-10.261,-0.028,,,,,8,0.303,-0.028,,,,5,0.713,0.0469,N/A,,
9,20,396,465,100376.401,-23.599,-0.063,,,,,9,0.152,,-0.063,,,6,0.593,0.05625,N/A,,
10,20,396,475,100372.98,-27.02,-0.073,,,,,10,0.09,-0.073,,,,7,0.525,0.06565,N/A,,
11,20,396,443,100383.925,-16.075,-0.043,,,,,11,0.065,,-0.043,,,8,0.303,0.075,N/A,,
12,20,396,423,100390.765,-9.235,-0.025,,,,,12,0.028,-0.025,,,,9,0.152,0.06565,N/A,,
13,20,396,372,100408.208,8.208,0.022,,,,,13,0.02,,0.022,,,10,0.09,0.05625,N/A,,
14,20,396,337,100420.179,20.179,0.054,,,,,14,0.0087,0.054,,,,11,0.065,0.0469,N/A,,
15,20,396,266,100444.463,44.463,0.119,,,,,15,0.003,,0.119,,,12,0.028,0.0375,N/A,,
16,20,396,228,100457.459,57.459,0.154,,,,,16,0,0.154,0.154,,,13,0.02,0.02815,N/A,,
1,30,192,84,100454,54,0.145,,,,,,,,,,,14,0.0087,0.01875,N/A,,
2,30,192,192,100400,0,0,,,,,,,,,,,15,0.003,0.0094,N/A,,
3,30,192,84,100454,54,0.145,,,,,,,,,,,16,0,0,N/A,,
4,30,192,192,100400,0,0,,,,,,,,,,,1,N/A,N/A,0,,
5,30,192,84,100454,54,0.145,,,,,,,,,,,2,N/A,N/A,0.508,,
6,30,192,192,100400,0,0,,,,,,,,,,,3,N/A,N/A,1.016,,
7,30,192,84,100454,54,0.145,,,,,,,,,,,4,N/A,N/A,1.524,,
8,30,192,85,100453.5,53.5,0.144,,,,,,,,,,,5,N/A,N/A,1.778,,
9,30,192,88,100452,52,0.14,,,,,,,,,,,6,N/A,N/A,2.032,,
10,30,192,89,100451.5,51.5,0.138,,,,,,,,,,,7,N/A,N/A,2.286,,
11,30,192,92,100450,50,0.134,,,,,,,,,,,8,N/A,N/A,2.54,,
12,30,192,94,100449,49,0.132,,,,,,,,,,,9,N/A,N/A,2.794,,
13,30,192,95,100448.5,48.5,0.13,,,,,,,,,,,10,N/A,N/A,3.048,,
14,30,192,94,100449,49,0.132,,,,,,,,,,,11,N/A,N/A,3.302,,
15,30,192,92,100450,50,0.134,,,,,,,,,,,12,N/A,N/A,3.556,,
16,30,192,90,100451,51,0.137,,,,,,,,,,,13,N/A,N/A,3.81,,
17,30,192,87,100452.5,52.5,0.141,,,,,,,,,,,14,N/A,N/A,4.064,,
18,30,192,86,100453,53,0.142,,,,,,,,,,,15,N/A,N/A,4.318,,
19,30,192,192,100400,0,0,,,,,,,,,,,16,N/A,N/A,4.826,,
20,30,192,84,100454,54,0.145,,,,,,,,,,,17,N/A,N/A,5.334,,
21,30,192,192,100400,0,0,,,,,,,,,,,18,N/A,N/A,5.842,,
22,30,192,84,100454,54,0.145,,,,,,,,,,,,,,,,
23,30,192,192,100400,0,0,,,,,,,,,,,,,,,,
24,30,192,84,100454,54,0.145,,,,,,,,,,,,,,,,
