Tapping No.,Manometer Inclination (deg),Manometer Nuetral (mmWC),Manometer Level (mmWC),Pressure at Point (Pa.),Pressure Change (Pa.),Coefficient of Pressue ,,,,,,x/c,Top CP,Bottom Cp,,,Ethanol Density (kg/m^3),Ambient Temp (c),Ambient Pressure (Pa.),Air Density  (kg/m^3),Flow Velocity (m/s),Chord (m),
1,20,396,371,100458.716,58.716,0.158,,,,,1,0.958,,0.158,,,700,23,100400,1.191908661,25,,
2,20,396,402,100385.908,-14.092,-0.038,,,,,2,0.888,-0.038,,,,,,,,,,
3,20,396,387,100421.138,21.138,0.057,,,,,3,0.858,,0.057,,,Node Info,x/c,y/c,Dist From Tube 1 (cm),,,372.4714566
4,20,396,382,100432.881,32.881,0.088,,,,,4,0.742,0.088,,,,1,0.958,0.0094,N/A,,,
5,20,396,410,100367.119,-32.881,-0.088,,,,,5,0.713,,-0.088,,,2,0.888,0.01875,N/A,,,
6,20,396,403,100383.559,-16.441,-0.044,,,,,6,0.593,-0.044,,,,3,0.858,0.02815,N/A,,,
7,20,396,431,100317.797,-82.203,-0.221,,,,,7,0.525,,-0.221,,,4,0.742,0.0375,N/A,,,
8,20,396,426,100329.54,-70.46,-0.189,,,,,8,0.303,-0.189,,,,5,0.713,0.0469,N/A,,,
9,20,396,465,100237.943,-162.057,-0.435,,,,,9,0.152,,-0.435,,,6,0.593,0.05625,N/A,,,
10,20,396,475,100214.456,-185.544,-0.498,,,,,10,0.09,-0.498,,,,7,0.525,0.06565,N/A,,,
11,20,396,443,100289.613,-110.387,-0.296,,,,,11,0.065,,-0.296,,,8,0.303,0.075,N/A,,,
12,20,396,423,100336.586,-63.414,-0.17,,,,,12,0.028,-0.17,,,,9,0.152,0.06565,N/A,,,
13,20,396,372,100456.368,56.368,0.151,,,,,13,0.02,,0.151,,,10,0.09,0.05625,N/A,,,
14,20,396,337,100538.57,138.57,0.372,,,,,14,0.0087,0.372,,,,11,0.065,0.0469,N/A,,,
15,20,396,266,100705.325,305.325,0.82,,,,,15,0.003,,0.82,,,12,0.028,0.0375,N/A,,,
16,20,396,228,100794.574,394.574,1.059,,,,,16,0,1.059,1.059,,,13,0.02,0.02815,N/A,,,
1,30,192,84,100770.818,370.818,0.996,,,,,,,,,,,14,0.0087,0.01875,N/A,,,
2,30,192,192,100400,0,0,,,,,,,,,,,15,0.003,0.0094,N/A,,,
3,30,192,84,100770.818,370.818,0.996,,,,,,,,,,,16,0,0,N/A,,,
4,30,192,192,100400,0,0,,,,,,,,,,,1,N/A,N/A,0,,,
5,30,192,84,100770.818,370.818,0.996,,,,,,,,,,,2,N/A,N/A,0.508,,,
6,30,192,192,100400,0,0,,,,,,,,,,,3,N/A,N/A,1.016,,,
7,30,192,84,100770.818,370.818,0.996,,,,,,,,,,,4,N/A,N/A,1.524,,,
8,30,192,85,100767.385,367.385,0.986,,,,,,,,,,,5,N/A,N/A,1.778,,,
9,30,192,88,100757.084,357.084,0.959,,,,,,,,,,,6,N/A,N/A,2.032,,,
10,30,192,89,100753.651,353.651,0.949,,,,,,,,,,,7,N/A,N/A,2.286,,,
11,30,192,92,100743.35,343.35,0.922,,,,,,,,,,,8,N/A,N/A,2.54,,,
12,30,192,94,100736.483,336.483,0.903,,,,,,,,,,,9,N/A,N/A,2.794,,,
13,30,192,95,100733.05,333.049,0.894,,,,,,,,,,,10,N/A,N/A,3.048,,,
14,30,192,94,100736.483,336.483,0.903,,,,,,,,,,,11,N/A,N/A,3.302,,,
15,30,192,92,100743.35,343.35,0.922,,,,,,,,,,,12,N/A,N/A,3.556,,,
16,30,192,90,100750.217,350.217,0.94,,,,,,,,,,,13,N/A,N/A,3.81,,,
17,30,192,87,100760.518,360.518,0.968,,,,,,,,,,,14,N/A,N/A,4.064,,,
18,30,192,86,100763.951,363.951,0.977,,,,,,,,,,,15,N/A,N/A,4.318,,,
19,30,192,192,100400,0,0,,,,,,,,,,,16,N/A,N/A,4.826,,,
20,30,192,84,100770.818,370.818,0.996,,,,,,,,,,,17,N/A,N/A,5.334,,,
21,30,192,192,100400,0,0,,,,,,,,,,,18,N/A,N/A,5.842,,,
22,30,192,84,100770.818,370.818,0.996,,,,,,,,,,,,,,,,,
23,30,192,192,100400,0,0,,,,,,,,,,,,,,,,,
24,30,192,84,100770.818,370.818,0.996,,,,,,,,,,,,,,,,,
